ImageName,FirstMatchImage,FirstMatchScore,SecondMatchImage,SecondMatchScore,ThirdMatchImage,ThirdMatchScore,FourthMatchImage,FourthMatchScore,FifthMatchImage,FifthMatchScore
1935f72ceac17d2a330e649e8a1f5ccb.jpg,d02372b4877d32b75e07f355224b45c4.jpg,26,26bd3844d33ca602df6dd88302740aca.jpg,20,e67bf61cffdd0860096914b6bd362d66.jpg,13,47f1c21bb86b7716e6a55b94658edf63.jpg,11,ce07f6ec78af9277d603ced161244f74.jpg,8
5aa0075aabea243846f34a099a0291ef.jpg,4ac78d1e5a87028b7769e67b4a1babf8.jpg,21,e38b28dd1a6a9f0fe2d4d61c948bbf80.jpg,19,a466a6ed5f96ebf9f98d2dadd88f270f.jpg,14,94d2ab6194d49deda9f43742b4dd14c0.jpg,14,c40b52958d573f6344b277fe4a89d67c.jpg,12
9a4744a90353689df3b89af2b583bdd0.jpg,731630b482081f572fa9b32096aa18e5.jpg,18,838f52861d1effdf309a854f1f1e8c4a.jpg,18,8bbdcbc98b3006c642e5658e4aaaec05.jpg,9,02c941addfb24cf701ac30f7e9eb6eea.jpg,9,e4ac7888f6a6fe330d1fde94898cc647.jpg,6
958977221f5724149464220adf3b1aa2.jpg,695ee9dfaf5462d8a4da58ca4a213ca0.jpg,47,7f9c01f39422a24cbd0c0226f1beff78.jpg,46,dc5a3b19cc206f10a48743eaec71ea65.jpg,35,c716a11e8620fbc76014f49c407aa576.jpg,34,c9859ff1da286722d61f9b7fb760f9a7.jpg,30
94d2ab6194d49deda9f43742b4dd14c0.jpg,78f777214d60b38da61874715468dc60.jpg,24,e38b28dd1a6a9f0fe2d4d61c948bbf80.jpg,22,eee483487b6faf3d272cd9cb8c7799d4.jpg,16,f65b59f5dbef8e67a4b0285f7250e7fc.jpg,14,5aa0075aabea243846f34a099a0291ef.jpg,13
2877b29da752f429e2126878e1fab12e.jpg,58961badc31bc005ee398bac7a568103.jpg,33,a296741a7bcad74c1f5693a18862fc12.jpg,31,51b6bbd800e739bcc716435e7d2d9349.jpg,23,8ec3d96b034717fc22bef492d962c2d1.jpg,21,c5d1a2f899d27fff511d7711cad02a97.jpg,18
7b42e5361d396f4c22c1d63ebf8b4b34.jpg,9669fae326e6e5962b3e9a5362e97b91.jpg,25,949c49f9cbc1337e0ce60ff9f3ff86d8.jpg,21,b528fa81702c9eb723df3081a53ed355.jpg,10,61488dd9074a5bb09f58fae2171ef7b6.jpg,9,c40b52958d573f6344b277fe4a89d67c.jpg,7
695ee9dfaf5462d8a4da58ca4a213ca0.jpg,958977221f5724149464220adf3b1aa2.jpg,46,c716a11e8620fbc76014f49c407aa576.jpg,42,7f9c01f39422a24cbd0c0226f1beff78.jpg,37,5a75e2220be0bdfee6c23657959684a8.jpg,34,dc5a3b19cc206f10a48743eaec71ea65.jpg,32
92e684642cbabc714b885dcbbf8c1669.jpg,b4a9cf965e24f86eaa95fb62ffefa063.jpg,22,b412fe3886d3d223343eb211ec49adf1.jpg,17,bce6e16508682a1edade34c61ae3d68e.jpg,9,21e588b5b8e292c44522f345f9ad1461.jpg,8,588ad34c0825fd8c62c622eaa89f79fa.jpg,6
74dcb03a4a41024e3332555143ad9c84.jpg,5537047531ebe6705b0b9e8e1d029732.jpg,33,b1bb2262ba95c2c42640243f535d7dae.jpg,32,8d3b887a8eb71da47185802d7fcfce0e.jpg,22,5dffcc1029c2fd8b9567b3af5202a85a.jpg,19,c51f720554d26b29ab5cb42e3587e2a6.jpg,18
72ea455e2b260acc3ce218c00e7bbff8.jpg,10b478fe9d04f4d1ad782046989d7b7a.jpg,32,ac85fbe4b855ab42c9f8c1ba97acf023.jpg,25,fe9f47fc4567028d83558efac52e8f9b.jpg,19,5a8ac0e3c66030583bc936887daaf565.jpg,16,ae685e7a3f1aaf6561291612fe358a2a.jpg,14
21e588b5b8e292c44522f345f9ad1461.jpg,61488dd9074a5bb09f58fae2171ef7b6.jpg,17,b412fe3886d3d223343eb211ec49adf1.jpg,11,92e684642cbabc714b885dcbbf8c1669.jpg,8,949c49f9cbc1337e0ce60ff9f3ff86d8.jpg,8,7b42e5361d396f4c22c1d63ebf8b4b34.jpg,6
5dffcc1029c2fd8b9567b3af5202a85a.jpg,8d3b887a8eb71da47185802d7fcfce0e.jpg,37,9d645bef1485c3ef5c25e91f9e550c26.jpg,33,5537047531ebe6705b0b9e8e1d029732.jpg,23,74dcb03a4a41024e3332555143ad9c84.jpg,19,2f5b3807c6d1ed4f992819b34aa4e28d.jpg,16
666e60bb8d5e74bc8edbfebff7f5a253.jpg,c9859ff1da286722d61f9b7fb760f9a7.jpg,44,8d1bdfb949aac8a3c8c591921a5bd611.jpg,42,dc5a3b19cc206f10a48743eaec71ea65.jpg,34,ff3cf0e35a18fab2f2c9c781efa678a9.jpg,32,0820984f50123e0b988b9c6d5b894db3.jpg,27
0db3963234841ac3abe223d3fe40a381.jpg,21b4305e1af1fb5f35376bf13ad49be1.jpg,34,e8d40eddfbb0967ed857007134270103.jpg,33,fea4bc57a729df66d1feb839268d64c4.jpg,22,c876a246641b8f2f5e540d6a10f1245a.jpg,22,ae685e7a3f1aaf6561291612fe358a2a.jpg,16
ce07f6ec78af9277d603ced161244f74.jpg,660736e1e3221369c72cc9db8337515c.jpg,17,47f1c21bb86b7716e6a55b94658edf63.jpg,16,5c4bbb29baeae6f7758b59adfe84f84e.jpg,10,1935f72ceac17d2a330e649e8a1f5ccb.jpg,8,8807c34199476652de0dd08bf7659ad6.jpg,8
ffc5d4080412c895a0d44c10c626b643.jpg,7aeea434dbf030666ddfdbefacd651d3.jpg,28,e257749333a573d80a039a10af0cc9f4.jpg,21,2dd6ea3e558f328cbac2db87afc9ebba.jpg,14,85b605273147b07677fd68b95126ff07.jpg,14,e660b5316ed2d85b8bf1aff825d627db.jpg,10
d02372b4877d32b75e07f355224b45c4.jpg,e67bf61cffdd0860096914b6bd362d66.jpg,29,1935f72ceac17d2a330e649e8a1f5ccb.jpg,25,5f95fa7118e0303fb444bccdfd9273e7.jpg,14,f92901182bf800189b16277d43e8194f.jpg,10,26bd3844d33ca602df6dd88302740aca.jpg,9
c716a11e8620fbc76014f49c407aa576.jpg,5a75e2220be0bdfee6c23657959684a8.jpg,49,695ee9dfaf5462d8a4da58ca4a213ca0.jpg,41,c8894b890f2ee9ab44d55bda65c0248b.jpg,35,958977221f5724149464220adf3b1aa2.jpg,31,0f341f02a2e048eb75c4eadc0dad586e.jpg,29
4ee4e988ea98044d18dfec11f2efecb4.jpg,7aef0940322baa6a37f2fb731b823fae.jpg,32,51b6bbd800e739bcc716435e7d2d9349.jpg,29,eb256d8c4eee2c257419d1cf628fdb50.jpg,22,a296741a7bcad74c1f5693a18862fc12.jpg,19,3b69d01bc9ce9a11b32fd64b107cbcfa.jpg,17
03e7fe350a9efddef07d0d440784b0a3.jpg,a4d6e352f0e4fbf4bb62c3b3b69cb08b.jpg,40,037159259023aaac872554bd5d55632b.jpg,34,ab8f975148ddf45426b02cd9104ad779.jpg,29,313d4e105ba3c0018c85221abff1daa9.jpg,21,cd3a7929da25f5706e8414fe9cda2750.jpg,21
a38b63a53b5440e59f548db2665c2b2a.jpg,691cc0b3d545c7afdb8b5f1e760ef6ff.jpg,38,92af8a96628feb7bb6947b8e5e6f801a.jpg,37,c3d721c533fbdfea3999e7a50dd9ed71.jpg,25,69837dad24955b358d0c0df43c4de66d.jpg,23,9d645bef1485c3ef5c25e91f9e550c26.jpg,19
037159259023aaac872554bd5d55632b.jpg,cd3a7929da25f5706e8414fe9cda2750.jpg,35,03e7fe350a9efddef07d0d440784b0a3.jpg,34,a269620bfa2ce66a77ffafc0f3a389f1.jpg,25,a4d6e352f0e4fbf4bb62c3b3b69cb08b.jpg,25,ab8f975148ddf45426b02cd9104ad779.jpg,20
7f9c01f39422a24cbd0c0226f1beff78.jpg,958977221f5724149464220adf3b1aa2.jpg,47,dc5a3b19cc206f10a48743eaec71ea65.jpg,46,695ee9dfaf5462d8a4da58ca4a213ca0.jpg,39,c9859ff1da286722d61f9b7fb760f9a7.jpg,36,c716a11e8620fbc76014f49c407aa576.jpg,29
